SICU,6414
Surgical Stepdown,4774
2N,6669
3N,6685
4N,4940
5N,6682
5N Med Stepdown 1,5903
5N Med Stepdown 2,5904
5N Med Stepdown Isolation,5939
6N,6577
ED 1,6241
ED 2,5305
ED Fast Track,6293
Department of Surgery,6464
Katherine Smith,4752
OR Front Desk,6520
OR 1,6610
OR 2,6611
OR 3,6612
OR 4,6621
OR 5,6614
OR 6,2260
OR 7,6616
OR 8,6617
OR 9,6618
OR 10,6619
PACU,6627
OR Scheduling,2118
Surgery Scheduling,6584
Inpatient Preop,7102
Outpatient Preop,6869
Outpatient Preop Holding,4988
Outpatient Surgery,6584
Surgery Palace,5024
Trauma Senior Call Room,3787
Intern Call Room,3485
SICU Call Room,4285
Surgery Conference Room (10th Floor),2298
Sim Lab,2495
CT ,6503
US,6504
MRI,4786
Nuclear Med,6673
IR 1,6501
IR 2,6999
Vascular Lab,5387
Radiology 1,6500
Radiology 2,6502
Reading Room ,2770
Chemistry,6804
Heme Lab,6784
Micro Lab,6765
Blood Bank 1,6821
Blood Bank 2,6822
Pharmacy 1,4006
Pharmacy 2,6535
Outpatient Pharmacy,6900
Outpatient Dialysis,6686
Inpatient Dialysis,6680
Dietician 1,6156
Dietician 2,6146
Central Supply 1,7072
Central Supply 2,6299
PT/OT,6515
SW (Nelly),6983
SW (Rebecca),6444
SW (Kyrsten),6980
SW (Elizabeth),6925
SW (Patricia),5708
IT,6550
MICU 1,6432
MICU 2,3713
NICU,6675
PICU 1,6223
PICU 2,6224
Family Medicine Lounge,5824
IM Resident Lounge 1,4288
IM Resident Lounge 2,4251
IM Resident Lounge 3,4267
IM Resident Lounge 4,2652
IM Resident Lounge 5,4675
IM Resident Lounge 6,4210
PMR Resident Room,773-565-3074
Surgery Outpatient Clinic 1,3080
Surgery Outpatient Clinic 2,6702
Surgery Clinic Workroom 1,3055
Surgery Clinic Workroom 2,3062
Mary Sandrick,3826
Nursing Supervisor,6582
EKG,4726
Central Scheduling,6584
Facilities,6401
Central Receiving 1,6752
Central Receiving 2,6753
Library,3756
Coroner,312-666-0200
Gift of Hope,800-545-4438
Cermak Urgent Care,773-674-5628

Dr. Defuniak (Cermak),773-674-6612
Interpreter, 855-469-5225
